\'em            ax m sp
continued       k ax n t ih n y uw d sp
continues       k ax n t ih n y uw z sp
continuing      k ax n t ih n y uw ix ng sp
continuous      k ax n t ih n y uw ax s sp
continuously    k ax n t ih n y uw ax s l iy sp
contradictorily k aa n t r ax d ih k t ao r ax l iy sp
contrary        k aa n t r eh r iy sp
contrast        k aa n t r ae s t sp
contribute      k ax n t r ih b y uw t sp
contributed     k ax n t r ih b y uw t ix d sp
contributions   k aa n t r ax b y uw sh ix n z sp
control         k ax n t r ow l sp
controls        k ax n t r ow l z sp
convey          k ax n v ey sp
conviction      k ax n v ih k sh ix n sp
convince        k ax n v ih n s sp
cook            k uh k sp
cooked          k uh k t sp
cookies         k uh k iy z sp
cooking         k uh k ix ng sp
cooperated      k ow aa p axr ey t ix d sp
cooperates      k ow aa p axr ey t s sp
cooperation     k ow aa p er ey sh ix n sp
cooperative     k ow aa p axr ix t ih v sp
cop             k aa p sp
copper          k aa p axr sp
copy            k aa p iy sp
corn            k ao r n sp
corner          k ao r n axr sp
cornmeal        k ao r n m iy l sp
corollaries     k ao r ax l eh r iy z sp
correct         k axr eh k t sp
corrugated      k ao r ax g ey t ix d sp
corsage         k ao r s aa zh sp
cory            k ao r iy sp
cost            k ao s t sp
costly          k ao s t l iy sp
costs           k ao s t s sp
costumes        k aa s t uw m z sp
cottage         k aa t ih jh sp
cough           k ao f sp
could           k uh d sp
could've        k uh d ax v sp
couldn't        k uh d en t sp
count           k aw n t sp
counted         k aw n t ix d sp
country         k ah n t r iy sp
county          k aw n t iy sp
couples         k ah p el z sp
courier         k er iy axr sp
course          k ao r s sp
court           k ao r t sp
courts          k ao r t s sp
cover           k ah v axr sp
coverage        k ah v axr ix jh sp
covered         k ah v axr d sp
covers          k ah v axr z sp
cow             k aw sp
coward          k aw axr d sp
cowboy          k aw b oy sp
cowboy's        k aw b oy z sp
cowling         k aw l ix ng sp
cows            k aw z sp
coyote          k ay ow t iy sp
crab            k r ae b sp
crack           k r ae k sp
cracked         k r ae k t sp
craft           k r ae f t sp
crash           k r ae sh sp
crashed         k r ae sh t sp
crashing        k r ae sh ix ng sp
crave           k r ey v sp
crawling        k r ao l ix ng sp
crazily         k r ey z ix l iy sp
crazy           k r ey z iy sp
cream           k r iy m sp
create          k r iy ey t sp
created         k r iy ey t ix d sp
creation        k r iy ey sh ix n sp
credit          k r eh d ix t sp
creole          k r iy ow l sp
crest           k r eh s t sp
crew            k r uw sp
crimson         k r ih m z ix n sp
crisis          k r ay s ix s sp
crisp           k r ih s p sp
criss           k r ih s sp
crisscrossed    k r ih s k r ao s t sp
critical        k r ih t ih k el sp
crooked         k r uh k ix d sp
cross           k r ao s sp
crossed         k r ao s t sp
crossroads      k r ao s r ow d z sp
crowd           k r aw d sp
crown           k r aw n sp
crucial         k r uw sh el sp
crucified       k r uw s ax f ay d sp
crude           k r uw d sp
crudely         k r uw d l iy sp
cruel           k r uw l sp
cruelty         k r uw l iy sp
crushers        k r ah sh axr z sp
cry             k r ay sp
crystallizing   k r ih s t el ay z ix ng sp
cubic           k y uw b ih k sp
cuisine         k w ih z iy n sp
cultivated      k ah l t ix v ey t ix d sp
cultural        k ah l ch axr ax el sp
cultures        k ah l ch axr z sp
cupcakes        k ah p k ey k s sp
cure            k y uh r sp
cured           k y uh r d sp
curiosity       k y uh r iy aa s ix t iy sp
curiously       k y uh r iy ix s l iy sp
curly           k er l iy sp
current         k er ax n t sp
curry           k er iy sp
curve           k er v sp
curves          k er v z sp
customers       k ah s t ax m axr z sp
cut             k ah t sp
cyclical        s ih k l ih k el sp
cynics          s ih n ih k s sp
dad             d ae d sp
daily           d ey l iy sp
damage          d ae m ih jh sp
damaged         d ae m ih jh d sp
damp            d ae m p sp
dancers         d ae n s axr z sp
dances          d ae n s ix z sp
danger          d ey n jh axr sp
danny           d ae n iy sp
dark            d aa r k sp
darkness        d aa r k n ix s sp
darned          d aa r n d sp
data            d ey t ax sp
date            d ey t sp
davy            d ey v iy sp
day             d ey sp
daydreamed      d ey d r iy m d sp
days            d ey z sp
daytime         d ey t ay m sp
dead            d eh d sp
deadline        d eh d l ay n sp
deal            d iy l sp
dealers         d iy l axr z sp
dear            d ih r sp
death           d eh th sp
debts           d eh t s sp
debut           d ey b y uw sp
decadent        d eh k ix d ix n t sp
deceitful       d ih s iy t f el sp
deceiving       d ih s iy v ix ng sp
decide          d ih s ay d sp
decided         d ih s ay d ix d sp
decides         d ih s ay d z sp
decking         d eh k ix ng sp
declining       d ax k l ay n ix ng sp
decorator       d eh k axr ey t axr sp
decrease        d iy k r iy s sp
deductible      d ax d ah k t ax b el sp
deed            d iy d sp
deep            d iy p sp
deeper          d iy p axr sp
deeply          d iy p l iy sp
defects         d iy f eh k t s sp
defend          d ax f eh n d sp
defense         d ax f eh n s sp
defiantly       d ax f ay ax n t l iy sp
define          d ih f ay n sp
definitely      d eh f ax n ix t l iy sp
degree          d ax g r iy sp
degrees         d ax g r iy z sp
delegated       d eh l ax g ey t ix d sp
delete          d ax l iy t sp
delicate        d eh l ih k ix t sp
delicious       d ax l ih sh ix s sp
delightful      d ax l ay t f el sp
delineating     d ax l ih n iy ey t ix ng sp
delivering      d ax l ih v axr ix ng sp
demanded        d ax m ae n d ix d sp
demineralization d ax m ih n axr el ay z ey sh ix n sp
demonstration   d eh m ax n s t r ey sh ix n sp
dense           d eh n s sp
density         d eh n s ix t iy sp
denunciation    d ih n ah n s iy ey sh ix n sp
deny            d ax n ay sp
departments     d ax p aa r t m ax n t s sp
departure       d ax p aa r ch axr sp
depend          d ax p eh n d sp
deputy          d eh p y uw t iy sp
derived         d axr ay v d sp
deriving        d axr ay v ix ng sp
describe        d ix s k r ay b sp
desegregate     d ih s eh g r ih g ey t sp
deserves        d ix z er v z sp
design          d ix z ay n sp
designer        d ix z ay n axr sp
desirable       d ix z ay axr ax b el sp
desire          d ix z ay axr sp
desires         d ix z ay axr z sp
desk            d eh s k sp
desolation      d eh s ax l ey sh ix n sp
despair         d ix s p ae r sp
desperately     d eh s p axr ax t l iy sp
despised        d ix s p ay z d sp
despite         d ix s p ay t sp
dessert         d ih z er t sp
destiny         d eh s t ix n iy sp
destroy         d ix s t r oy sp
detail          d iy t ey l sp
details         d iy t ey l z sp
detectable      d ih t eh k ax b el sp
detective's     d ih t eh k t ih v z sp
determination   d ih t er m ax n ey sh ix n sp
determine       d ih t er m ax n sp
detract         d ih t r ae k t sp
develop         d ax v eh l ax p sp
developed       d ax v eh l ax p t sp
developing      d ax v eh l ax p ix ng sp
development     d ax v eh l ah p m ax n t sp
diagnosis       d ay ih g n ow s ix s sp
diagonally      d ay ae g ix n ax l iy sp
diane           d ay ae n sp
diarrhoea       d ay axr iy ax sp
dictators       d ih k t ey t axr z sp
did             d ih d sp
didn't          d ih d en t sp
die             d ay sp
died            d ay d sp
diet            d ay ax t sp
differ          d ih f axr sp
difference      d ih f axr ax n s sp
differences     d ih f axr ax n s ix z sp
different       d ih f axr ax n t sp
differently     d ih f axr ax n t l y sp
difficult       d ih f ih k ah l t sp
dignity         d ih g n ix t iy sp
dim             d ih m sp
dime            d ay m sp
dimensions      d ax m eh n sh ix n z sp
diminish        d ax m ih n ih sh sp
diminishing     d ax m ih n ih sh ix ng sp
dingo           d ih ng g ow sp
dinner          d ih n axr sp
diploma         d ax p l ow m ax sp
direction       d axr eh k sh ix n sp
directional     d axr eh k sh ix n el sp
directions      d axr eh k sh ix n z sp
director        d axr eh k t axr sp
directory       d axr eh k t axr iy sp
dirty           d er t iy sp
disappeared     d ih s ax p iy r d sp
disapproval     d ih s ax p r uw v el sp
disapproves     d ih s ax p r uw v z sp
disaster        d ih z ae s t axr sp
discard         d ih s k aa r d sp
disciplined     d ih s ax p l ix n d sp
disclaimer      d ih s k l ey m axr sp
discount        d ih s k aw n t sp
discouraged     d ih s k er ih jh d sp
discouraging    d ih s k er ih jh ix ng sp
discovered      d ih s k ah v axr d sp
discretionary   d ih s k r eh sh ix n eh r iy sp
discussion      d ih s k ah sh ix n sp
discussions     d ih s k ah sh ix n z sp
disease         d ix z iy z sp
disguise        d ix s g ay z sp
disgusting      d ih s g ah s t ix ng sp
dish            d ih sh sp
dishes          d ih sh ix z sp
disliked        d ih s l ay k t sp
disobeyed       d ih s ow b ey d sp
dispensing      d ih s p eh n s ix ng sp
dispersed       d ih s p er s t sp
displacement    d ih s p l ey s m ax n t sp
display         d ih s p l ey sp
dispute         d ih s p y uw t sp
disputes        d ih s p y uw t s sp
disregarding    d ih s r ih g aa r d ix ng sp
dissolve        d ih z aa l v sp
distances       d ih s t ix n s ix z sp
distinct        d ih s t ih ng t sp
distinguished   d ih s t ih ng g w ih sh t sp
distorted       d ih s t ao r t ix d sp
distracted      d ih s t r ae k t ix d sp
distress        d ih s t r eh s sp
ditches         d ih ch ix z sp
dive            d ay v sp
divided         d ax v ay d ix d sp
divinities      d ax v ih n ix t iy z sp
division        d ax v ih zh ix n sp
divorce         d ax v ao r s sp
divorced        d ax v ao r s t sp
do              d uw sp
doctor          d aa k t axr sp
doctors         d aa k t axr z sp
doctrine        d aa k t r ax n sp
documented      d aa k y uw m eh n t ix d sp
documents       d aa k y uw m ax n t s sp
dodging         d aa jh ix ng sp
does            d ah z sp
doesn't         d ah z en t sp
dog             d ao g sp
dogmatically    d ao g m ae t ih k ax l iy sp
dogs            d ao g z sp
doin'           d uw ix n sp
doing           d uw ix ng sp
doll            d aa l sp
dollar          d aa l axr sp
dollars         d aa l axr z sp
dolphins        d aa l f ax n z sp
domestic        d ax m eh s t ih k sp
dominated       d aa m ih n ey t ix d sp
don't           d ow n t sp
donate          d ow n ey t sp
donated         d ow n ey t ix d sp
done            d ah n sp
door            d ao r sp
doors           d ao r z sp
doorways        d ao r w ey z sp
double          d ah b el sp
doubt           d aw t sp
dough           d ow sp
doused          d aw s t sp
down            d aw n sp
downtown        d aw n t aw n sp
downward        d aw n w axr d sp
dramatic        d r ax m ae t ih k sp
drank           d r ae ng k sp
drastically     d r ae s t ih k l iy sp
draw            d r ao sp
drawing         d r ao ix ng sp
drawled         d r ao l d sp
drawn           d r ao n sp
dream           d r iy m sp
dreams          d r iy m z sp
drenched        d r eh n ch t sp
dress           d r eh s sp
dressing        d r eh s ix ng sp
dressy          d r eh s iy sp
drew            d r uw sp
dried           d r ay d sp
drift           d r ih f t sp
drifting        d r ih f t ix ng sp
drink           d r ih ng k sp
drive           d r ay v sp
driven          d r ih v ax n sp
drivers         d r ay v axr z sp
drop            d r aa p sp
dropped         d r aa p t sp
drops           d r aa p s sp
drove           d r ow v sp
drug's          d r ah g z sp
drugs           d r ah g z sp
drugstore       d r ah g s t ao r sp
drunkard        d r ah ng k er d sp
drunkards       d r ah ng k er d z sp
drunkenness     d r ah ng k ax n ix s sp
dry             d r ay sp
dubious         d uw b iy ax s sp
duck            d ah k sp
ducks           d ah k s sp
due             d uw sp
dug             d ah g sp
dumb            d ah m sp
dumped          d ah m p t sp
duplicate       d uw p l ih k ix t sp
during          d uh r ix ng sp
dust            d ah s t sp
dusting         d ah s t ix ng sp
dutch           d ah ch sp
duty            d uw t iy sp
dwarf           d w ao r f sp
dyeing          d ay ix ng sp
dynamics        d ay n ae m ih k s sp
dynastic        d ay n ae s t ih k sp
each            iy ch sp
eagerly         iy g axr l iy sp
eagerness       iy g axr n ix s sp
ear             ih r sp
earlier         er l iy axr sp
early           er l iy sp
earnestly       er n ix s t l iy sp
earth           er th sp
earth's         er th s sp
earthenware     er th ax n w ae r sp
earthquake      er th k w ey k sp
ease            iy z sp
eased           iy z d sp
easier          iy z iy axr sp
easily          iy z ax l iy sp
eastern         iy s t axr n sp
easy            iy z iy sp
easygoing       iy z iy g ow ix ng sp
eat             iy t sp
eaten           iy t en sp
eating          iy t ix ng sp
eccentricity    eh k s eh n t r ih s ix t iy sp
echo            eh k ow sp
economic        eh k ix n aa m ih k sp
economically    eh k ix n aa m ih k l iy sp
economy         ih k aa n ax m iy sp
ecumenical      eh k y uh m eh n ih k el sp
edge            eh jh sp
edges           eh jh ix z sp
edgy            eh d jh iy sp
education       eh jh ix k ey sh ix n sp
educational     eh jh ix k ey sh ix n el sp
effect          ih f eh k t sp
effective       ih f eh k t ih v sp
effects         ih f eh k t s sp
effort          eh f axr t sp
eggs            eh g z sp
egotist         iy g ow t ih s t sp
eight           ey t sp
eighteenth      ey t iy n th sp
either          iy dh axr sp
elaborately     ax l ae b axr ax t l iy sp
elbowing        eh l b ow ix ng sp
electric        ax l eh k t r ih k sp
electronic      ax l eh k t r aa n ih k sp
element         eh l ax m ax n t sp
elementary      eh l ax m eh n t axr iy sp
elements        eh l ax m ax n t s sp
elevator        eh l ax v ey t axr sp
eleven          ax l eh v ax n sp
ellipsoids      ax l ih p s oy d sp
elm             eh l m sp
elongation      ih l ao ng g ey sh ix n sp
else            eh l s sp
embankment      ih m b ae ng k m ax n t sp
embracing       eh m b r ey s ix ng sp
emerge          ih m er jh sp
emergency       ih m er jh ix n s iy sp
emotionally     ih m ow sh ix n ax l iy sp
emotions        ih m ow sh ix n z sp
emperor         eh m p axr axr sp
emphasized      eh m f ax s ay z d sp
emphysema       eh m f ax z iy m aa sp
empirical       ih m p ih r ih k el sp
employee        ih m p l oy iy sp
employees       ih m p l oy iy z sp
empty           eh m p t iy sp
enamel          ih n ae m el sp
encamped        ih n k ae m p t sp
enclosed        eh n k l ow z d sp
encountered     ih n k aw n t axr d sp
encourage       ih n k er ih jh sp
encouraged      ih n k er ih jh d sp
encyclopedias   ih n s ay k l ax p iy d iy ax z sp
end             eh n d sp
ends            eh n d z sp
endurance       eh n d uh r en s sp
enemy           eh n ax m iy sp
energy          eh n er jh iy sp
engine          eh n jh ix n sp
engineer        eh n jh ix n ih r sp
engineering     eh n jh ix n ih r ix ng sp
engineers'      eh n jh ix n ih r z sp
engulfed        eh n g ah l f t sp
enigma          ih n ih g m ax sp
enjoy           eh n jh oy sp
enjoyed         eh n jh oy d sp
enlisted        ih n l ih s t ix d sp
enough          ih n ah f sp
enrich          ih n r ih ch sp
ensue           ih n s uw sp
enter           eh n t axr sp
enthusiastic    ih n th uw z iy ae s t ih k sp
entire          ih n t ay axr sp
entirely        ih n t ay axr l iy sp
entitle         ih n t ay t el sp
entries         eh n t r iy z sp
entry           eh n t r iy sp
environment     eh n v ay r ax n m ax n t sp
environments    eh n v ay r ax n m ax n t s sp
ephemeral       eh f eh m axr el sp
epidemic        eh p ax d eh m ih k sp
equal           iy k w el sp
equally         iy k w el iy sp
equation        ih k w ey zh ix n sp
equipment       ax k w ih p m ax n t sp
equipped        ax k w ih p t sp
equivalent      ih k w ih v el ax n t sp
era             eh r ax sp
erect           ih r eh k t sp
eruption        ih r ah p sh ix n sp
escalator       eh s k ax l ey t axr sp
esoteric        eh s ax t eh r ih k sp
especially      ih s p eh sh ax l iy sp
essay           eh s ey sp
essential       ih s eh n sh el sp
essentially     ih s eh n sh ax l iy sp
establishment   ih s t ae b l ih sh m ax n t sp
estimates       eh s t ix m ih t s sp
etc             eh t s eh t axr ax sp
eternal         ih t er n el sp
etiquette       eh t ih k ix t sp
evacuate        ih v ae k y uw ey t sp
evaluate        ih v ae l y uw ey t sp
evaluated       ih v ae l y uw ey t ix d sp
evaluation      ih v ae l y uw ey sh ix n sp
even            iy v ax n sp
evening         iy v n ih ng sp
evenly          iy v ax n l iy sp
events          ax v eh n t s sp
eventualities   ih v eh n ch uw ae l ix t iy z sp
eventually      ih v eh n ch uw ax l iy sp
ever            eh v axr sp
every           eh v r iy sp
everybody       eh v r iy b ah d iy sp
everyone        eh v r iy w ah n sp
everything      eh v r iy th ih ng sp
evidence        eh v ix d ih n s sp
evident         eh v ix d ix n t sp
evocative       ih v aa k ax t ih v sp
exacerbated     ih g z ae s axr b ey t ix d sp
exacerbations   ih g z ae s axr b ey sh ix n z sp
exaggerated     ih g z ae jh axr ey t ix d sp
examination     ih g z ae m ih n ey sh ix n sp
examined        ih g z ae m ix n d sp
example         ih g z ae m p el sp
examples        ih g z ae m p el z sp
excellent       eh k s el ax n t sp
except          ih k s eh p t sp
exception       ih k s eh p sh ix n sp
excess          eh k s eh s sp
exchange        ih k s ch ey n jh sp
exchanged       ih k s ch ey n jh d sp
excitement      ih k s ay t m ax n t sp
exclaiming      ih k s k l ey m ix ng sp
exclusive       ih k s k l uw s ih v sp
execute         eh k s ix k y uw t sp
execution       eh k s ix k y uw sh ix n sp
executive       ih g z eh k y uw t ih v sp
exercise        eh k s axr s ay z sp
exercises       eh k s axr s ay z ix z sp
exhibited       ih g z ih b ax t ix d sp
exhibits        ih g z ih b ax t s sp
exist           ih g z ih s t sp
existed         ih g z ih s t ix d sp
existence       ih g z ih s t ix n s sp
existing        ih g z ih s t ix ng sp
exists          ih g z ih s t s sp
exotic          ih g z aa t ih k sp
expect          eh k s p eh k t sp
expected        eh k s p eh k t ix d sp
expecting       eh k s p eh k t ix ng sp
expects         eh k s p eh k t s sp
expensive       eh k s p eh n s ih v sp
experience      ih k s p ih r iy ax n s sp
experienced     ih k s p ih r iy ax n s t sp
experiment      eh k s p eh r ax m ax n t sp
experiment's    eh k s p eh r ax m ax n t s sp
experimental    eh k s p eh r ax m eh n t ax l sp
experiments     eh k s p eh r ax m ax n t s sp
expertise       eh k s p er t iy z sp
expertly        eh k s p er t l iy sp
experts         eh k s p er t s sp
explain         ih k s p l ey n sp
explains        ih k s p l ey n z sp
explanation     eh k s p l ix n ey sh ix n sp
explicitly      ih k s p l ih s ix t l iy sp
explosion       ih k s p l ow zh ix n sp
export          eh k s p ao r t sp
exposure        ih k s p ow zh axr sp
expression      ih k s p r eh sh ix n sp
expressway      ih k s p r eh s w ey sp
exquisite       eh k s k w ih z ix t sp
extended        ih k s t eh n d ix d sp
extending       ih k s t eh n d ix ng sp
extensive       ih k s t eh n s ih v sp
extent          ih k s t eh n t sp
extra           eh k s t r ax sp
extraordinary   ih k s t r ao r d en eh r iy sp
eye             ay sp
eyedrops        ay d r aa p s sp
eyelids         ay l ih d z sp
eyes            ay z sp
eyestrain       ay s t r ey n sp
face            f ey s sp
faces           f ey s ix z sp
fact            f ae k t sp
factors         f ae k t axr z sp
facts           f ae k t s sp
faculty         f ae k el t iy sp
faded           f ey d ix d sp
fail            f ey l sp
failed          f ey l d sp
fails           f ey l z sp
failure         f ey l y axr sp
fair            f ae r sp
faith           f ey th sp
fall            f ao l sp
falls           f ao l z sp
false           f ao l s sp
falters         f ao l t axr z sp
fame            f ey m sp
family          f ae m el iy sp
famous          f ey m ax s sp
fancier         f ae n s iy axr sp
fancy           f ae n s iy sp
fangs           f ae ng z sp
far             f aa r sp
farm            f aa r m sp
farmers         f aa r m axr z sp
farmland        f aa r m l ae n d sp
farther         f aa r dh axr sp
fasciculations  f ax s ih k y ax l ey sh ix n z sp
fascinating     f ae s en ey t ix ng sp
fashioned       f ae sh ix n d sp
fast            f ae s t sp
faster          f ae s t axr sp
fat             f ae t sp
father          f aa dh axr sp
father's        f aa dh axr z sp
fathers         f aa dh axr z sp
fatigue         f ax t iy g sp
fatigued        f ax t iy g d sp
fatigues        f ax t iy g z sp
fault           f ao l t sp
faults          f ao l t s sp
favor           f ey v axr sp
favorite        f ey v axr ix t sp
fawn            f ao n sp
fear            f ih r sp
fearful         f ih r f el sp
fears           f ih r z sp
feasible        f iy z ax b el sp
feast           f iy s t sp
feather         f eh dh axr sp
feathered       f eh dh axr d sp
feathers        f eh dh axr z sp
features        f iy ch axr z sp
feed            f iy d sp
feel            f iy l sp
feeling         f iy l ix ng sp
feelings        f iy l ix ng z sp
feet            f iy t sp
fell            f eh l sp
fella           f eh l ax sp
felt            f eh l t sp
female          f iy m ey l sp
fenced          f eh n s t sp
fermented       f er m eh n t ix d sp
fertilizers     f er t ax l ay z axr z sp
fever           f iy v axr sp
feverishly      f iy v axr ih sh l iy sp
few             f y uw sp
fewer           f y uw axr sp
fibers          f ay b axr z sp
fibrosis        f ay b r ow s ix s sp
fiction         f ih k sh ix n sp
fiddles         f ih d el z sp
field           f iy l d sp
fields          f iy l d z sp
fieldwork       f iy l d w er k sp
fiercely        f ih r s l iy sp
fiery           f ay r iy sp
fifteen         f ih f t iy n sp
fifth           f ih f th sp
fifty           f ih f t iy sp
fight           f ay t sp
fights          f ay t s sp
figure          f ih g y axr sp
figured         f ih g y axr d sp
figures         f ih g y axr z sp
file            f ay l sp
files           f ay l z sp
fill            f ih l sp
filling         f ih l ix ng sp
film            f ih l m sp
films           f ih l m z sp
filtered        f ih l t axr d sp
final           f ay n el sp
finally         f ay n el iy sp
financing       f ay n ae n s ix ng sp
find            f ay n d sp
finding         f ay n d ix ng sp
finds           f ay n d z sp
fine            f ay n sp
finger          f ih ng g axr sp
fingerprints    f ih ng g axr p r ih n t s sp
fingers         f ih ng g axr z sp
finish          f ih n ih sh sp
finishing       f ih n ih sh ix ng sp
fire            f ay axr sp
fireplace       f ay axr p l ey s sp
fires           f ay axr z sp
firing          f ay axr ix ng sp
firmly          f er m l iy sp
firmness        f er m n ix s sp
first           f er s t sp
fiscal          f ih s k el sp
fishermen       f ih sh axr m eh n sp
fishing         f ih sh ix ng sp
fist            f ih s t sp
fit             f ih t sp
five            f ay v sp
fix             f ih k s sp
fixed           f ih k s t sp
fjords          f iy ao r d z sp
flag            f l ae g sp
flame           f l ey m sp
flash           f l ae sh sp
flashing        f l ae sh ix ng sp
flat            f l ae t sp
flawless        f l ao l ax s sp
flaxseed        f l ae k s iy d sp
fled            f l eh d sp
flesh           f l eh sh sp
flew            f l uw sp
flexible        f l eh k s ax b el sp
flickered       f l ih k axr d sp
flip            f l ih p sp
float           f l ow t sp
floc            f l aa k sp
floor           f l ao r sp
floorboards     f l ao r b ao r d z sp
flopped         f l aa p t sp
flourishes      f l ah r ih sh ix z sp
flow            f l ow sp
flower          f l aw axr sp
flowerpot       f l aw axr p aa t sp
flowers         f l aw axr z sp
fluid           f l uw ix d sp
flurries        f l er iy z sp
fluttered       f l ah t axr d sp
flying          f l ay ix ng sp
foam            f ow m sp
foamy           f ow m iy sp
focus           f ow k ix s sp
foil            f oy l sp
folds           f ow l d z sp
follow          f aa l ow sp
followed        f aa l ow d sp
following       f aa l ow ix ng sp
follows         f aa l ow z sp
food            f uw d sp
foods           f uw d z sp
fool            f uw l sp
fooling         f uw l ix ng sp
foolish         f uw l ih sh sp
fools           f uw l z sp
foot            f uh t sp
football        f uh t b ao l sp
footfall        f uh t f ao l sp
footnotes       f uh t n ow t s sp
for             f ao r sp
forbidden       f ao r b ih d en sp
force           f ao r s sp
forced          f ao r s t sp
forces          f ao r s ix z sp
foreign         f ao r ax n sp
foreigners      f ao r ax n axr z sp
forest          f ao r ix s t sp
forever         f axr eh v axr sp
forgery         f ao r jh er iy sp
forget          f ao r g eh t sp
form            f ao r m sp
formed          f ao r m d sp
former          f ao r m axr sp
forms           f ao r m z sp
formula         f ao r m y uh l ax sp
formulation     f ao r m y uh l ey sh ix n sp
forth           f ao r th sp
forty           f ao r t iy sp
forward         f ao r w axr d sp
fosters         f ao s t axr z sp
fought          f ao t sp
foul            f aw l sp
found           f aw n d sp
four            f ao r sp
frankfurter     f r ae ng k f axr t axr sp
frankfurters    f r ae ng k f axr t axr z sp
freely          f r iy l iy sp
freethinkers    f r iy th ih ng k axr z sp
frequent        f r iy k w ax n t sp
frequently      f r iy k w ax n t l iy sp
fresh           f r eh sh sp
friend          f r eh n d sp
friends         f r eh n d z sp
frightened      f r ay t en d sp
fringe          f r ih n jh sp
frivolous       f r ih v el ax s sp
from            f r ah m sp
front           f r ah n t sp
frostbite       f r ao s t b ay t sp
frowningly      f r aw n ix ng l iy sp
froze           f r ow z sp
fruit           f r uw t sp
frustration     f r ah s t r ey sh ix n sp
fudge           f ah jh sp
fulfilling      f uh l f ih l ix ng sp
full            f uh l sp
fullness        f uh l n ix s sp
fumbled         f ah m b el d sp
fuming          f y uw m ix ng sp
fun             f ah n sp
function        f ah ng k sh ix n sp
functional      f ah ng k sh ix n el sp
fund            f ah n d sp
funding         f ah n d ix ng sp
fungicides      f ah n jh ix s ay d z sp
funny           f ah n iy sp
fur             f er sp
furiously       f y uh r iy ax s l iy sp
furnish         f er n ih sh sp
furrier         f er iy axr sp
further         f er dh axr sp
future          f y uw ch axr sp
gab             g ae b sp
gadfly          g ae d f l ay sp
gadget          g ae jh ix t sp
gag             g ae g sp
gain            g ey n sp
gained          g ey n d sp
gait            g ey t sp
gallon          g ae l ix n sp
game            g ey m sp
gang            g ae ng sp
gangplank       g ae ng p l ae ng k sp
garage          g axr aa zh sp
garbage         g aa r b ih jh sp
garden          g aa r d en sp
gardens         g aa r d en z sp
garlic          g aa r l ih k sp
garrisoned      g ae r ix s ix n d sp
gas             g ae s sp
gashes          g ae sh ix z sp
gassing         g ae s ix ng sp
gates           g ey t s sp
gathered        g ae dh axr d sp
gathering       g ae dh axr ix ng sp
gaudy           g ao d iy sp
gave            g ey v sp
gazed           g ey z d sp
gear            g ih r sp
geeing          jh iy ix ng sp
general         jh eh n axr el sp
general's       jh eh n axr el z sp
generalizations jh eh n axr el ax z ey sh ix n z sp
generalize      jh eh n axr ax l ay z sp
generally       jh eh n axr ax l iy sp
generations     jh eh n axr ey sh ix n z sp
generous        jh eh n axr ix s sp
generously      jh eh n axr ix s l iy sp
gently          jh eh n t l iy sp
genuinely       jh eh n y uw ax n l iy sp
geocentricism   jh iy ax s eh n t r ih s ix z em sp
geographically  jh iy ax g r ae f ih k l iy sp
geological      jh iy ax l aa jh ih k el sp
george          jh ao r jh sp
get             g eh t sp
gets            g eh t s sp
getting         g eh t ix ng sp
ghetto          g eh t ow sp
ghettos         g eh t ow z sp
giant           jh ay ix n t sp
giants          jh ay ix n t s sp
gift            g ih f t sp
gifts           g ih f t s sp
gigantic        jh ay g ae n t ih k sp
gin             jh ih n sp
giraffes        jh axr ae f s sp
girl            g er l sp
girlie          g er l iy sp
girlishly       g er l ih sh l iy sp
girls           g er l z sp
give            g ih v sp
given           g ih v ax n sp
gives           g ih v z sp
givin'          g ih v ax n sp
gland           g l ae n d sp
glass           g l ae s sp
glaze           g l ey z sp
glazed          g l ey z d sp
gleam           g l iy m sp
gleamed         g l iy m d sp
gleaming        g l iy m ix ng sp
glimpse         g l ih m p s sp
glistening      g l ih s en ix ng sp
glossy          g l ao s iy sp
glow            g l ow sp
glue            g l uw sp
glued           g l uw d sp
gluttons        g l ah t en z sp
go              g ow sp
goal            g ow l sp
goes            g ow z sp
goin'           g ow ih n sp
going           g ow ix ng sp
gold            g ow l d sp
golfing         g aa l f ix ng sp
gone            g ao n sp
gonna           g ah n ax sp
good            g uh d sp
goodness        g uh d n ix s sp
goodnight       g uh d n ay t sp
goose           g uw s sp
gooseberry      g uw s b eh r iy sp
gorgeous        g ao r jh ix s sp
gosh            g aa sh sp
got             g aa t sp
goulash         g uw l aa sh sp
govern          g ah v axr n sp
government      g ah v axr n m ax n t sp
gowns           g aw n z sp
gracefully      g r ey s f ah l iy sp
grade           g r ey d sp
gradually       g r ae jh uw ax l iy sp
graduation      g r ae jh uw ey sh ix n sp
grains          g r ey n z sp
grants          g r ae n t s sp
graph           g r ae f sp
grateful        g r ey t f el sp
graying         g r ey ix ng sp
greasing        g r iy s ix ng sp
greasy          g r iy s iy sp
great           g r ey t sp
greatly         g r ey t l iy sp
greedily        g r iy d ax l iy sp
green           g r iy n sp
greenness       g r iy n ix s sp
greeted         g r iy t ix d sp
gregory         g r eh g axr iy sp
grievance       g r iy v ax n s sp
grievances      g r iy v ax n s ix z sp
grill           g r ih l sp
grinned         g r ih n d sp
grip            g r ih p sp
groin           g r oy n sp
groom           g r uw m sp
gross           g r ow s sp
grotesque       g r ow t eh s k sp
ground          g r aw n d sp
