"'em" ax m
SILENCE sil
a  ax
contagious  k ax n t ey jh ix s
contain  k ax n t ey n
contained  k ax n t ey n d
container  k ax n t ey n axr
contains  k ax n t ey n z
contemporary  k ax n t eh m p axr eh r iy
contentedly  k ax n t eh n t ix d l iy
continental  k aa n t en eh n t el
continue  k ax n t ih n y uw
continued  k ax n t ih n y uw d
continues  k ax n t ih n y uw z
continuing  k ax n t ih n y uw ix ng
continuous  k ax n t ih n y uw ax s
continuously  k ax n t ih n y uw ax s l iy
contrary  k aa n t r eh r iy
contrast  k aa n t r ae s t
contribute  k ax n t r ih b y uw t
contributed  k ax n t r ih b y uw t ix d
contributions  k aa n t r ax b y uw sh ix n z
control  k ax n t r ow l
controlled  k ax n t r ow l d
controls  k ax n t r ow l z
convenient  k ax n v iy n y en t
converted  k ax n v er t ix d
convey  k ax n v ey
conviction  k ax n v ih k sh ix n
convince  k ax n v ih n s
convincing  k ax n v ih n s ix ng
cook  k uh k
cooked  k uh k t
cooked-over  k uh k t ow v axr
cookies  k uh k iy z
cooking  k uh k ix ng
cool  k uw l
cooperated  k ow aa p axr ey t ix d
cooperates  k ow aa p axr ey t s
cooperation  k ow aa p er ey sh ix n
cooperative  k ow aa p axr ix t ih v
cop  k aa p
copper  k aa p axr
copra  k ow p r ax
copy  k aa p iy
correct  k axr eh k t
cosmetics  k aa z m eh t ih k s
costume  k aa s t uw m
costumes  k aa s t uw m z
cottage  k aa t ih jh
cotton  k aa t en
could  k uh d
could've  k uh d ax v
couldn't  k uh d en t
count  k aw n t
counted  k aw n t ix d
counties  k aw n t iy z
country  k ah n t r iy
county  k aw n t iy
couples  k ah p el z
courier  k er iy axr
cover  k ah v axr
coverage  k ah v axr ix jh
covered  k ah v axr d
covers  k ah v axr z
cow  k aw
coward  k aw axr d
cowboy  k aw b oy
cowboy's  k aw b oy z
cowling  k aw l ix ng
cows  k aw z
coy  k oy
coyote  k ay ow t iy
crab  k r ae b
crack  k r ae k
cracked  k r ae k t
craft  k r ae f t
cranberry  k r ae n b eh r iy
crash  k r ae sh
crashed  k r ae sh t
crashing  k r ae sh ix ng
crave  k r ey v
crayons  k r ey aa n z
crazily  k r ey z ix l iy
crazy  k r ey z iy
cream  k r iy m
create  k r iy ey t
created  k r iy ey t ix d
creation  k r iy ey sh ix n
credit  k r eh d ix t
creeping  k r iy p ix ng
creole  k r iy ow l
crept  k r eh p t
crest  k r eh s t
crew  k r uw
crimson  k r ih m z ix n
crisis  k r ay s ix s
crisp  k r ih s p
criss  k r ih s
critical  k r ih t ih k el
crooked  k r uh k ix d
crops  k r aa p s
crowd  k r aw d
crown  k r aw n
crucial  k r uw sh el
crucified  k r uw s ax f ay d
crude  k r uw d
crudely  k r uw d l iy
cruel  k r uw l
cruelty  k r uw l iy
crunched  k r ah n ch t
crushed  k r ah sh t
crushers  k r ah sh axr z
cry  k r ay
crystalline  k r ih s t el ay n
crystallizing  k r ih s t el ay z ix ng
cubic  k y uw b ih k
cuisine  k w ih z iy n
cultivated  k ah l t ix v ey t ix d
cultural  k ah l ch axr ax el
cultures  k ah l ch axr z
cupcakes  k ah p k ey k s
cups  k ah p s
cure  k y uh r
cured  k y uh r d
curiosity  k y uh r iy aa s ix t iy
curious  k y uh r iy ax s
curiously  k y uh r iy ix s l iy
curly  k er l iy
current  k er ax n t
curry  k er iy
curve  k er v
curves  k er v z
custody  k ah s t ix d iy
customer  k ah s t ax m axr
customers  k ah s t ax m axr z
cut  k ah t
cutbacks  k ah t b ae k s
cuts  k ah t s
cutting  k ah t ix ng
cyclical  s ih k l ih k el
cynics  s ih n ih k s
dad  d ae d
daily  d ey l iy
damage  d ae m ih jh
damaged  d ae m ih jh d
damp  d ae m p
dance  d ae n s
dancers  d ae n s axr z
dances  d ae n s ix z
danger  d ey n jh axr
dangerous  d ey n jh axr ix s
dangers  d ey n jh axr z
danny  d ae n iy
daphne's  d ae f n iy z
dark  d aa r k
darkness  d aa r k n ix s
darned  d aa r n d
dash  d ae sh
data  d ey t ax
date  d ey t
davy  d ey v iy
day  d ey
daydreamed  d ey d r iy m d
days  d ey z
daytime  d ey t ay m
dead  d eh d
deadline  d eh d l ay n
deal  d iy l
dealers  d iy l axr z
deans  d iy n z
dear  d ih r
death  d eh th
debts  d eh t s
debut  d ey b y uw
decadent  d eh k ix d ix n t
decaying  d ax k ey ix ng
decays  d ax k ey z
deceitful  d ih s iy t f el
deceiving  d ih s iy v ix ng
december  d ih s eh m b axr
decide  d ih s ay d
decided  d ih s ay d ix d
decides  d ih s ay d z
decisions  d ih s ih zh ix n z
decisive  d ax s ay s ih v
deck  d eh k
decking  d eh k ix ng
declared  d ax k l ae r d
declining  d ax k l ay n ix ng
decorate  d eh k axr ey t
decorated  d eh k axr ey t ix d
decorative  d eh k axr ix t ih v
decorator  d eh k axr ey t axr
decrease  d iy k r iy s
deduct  d ax d ah k t
deductible  d ax d ah k t ax b el
deed  d iy d
deep  d iy p
deeper  d iy p axr
deeply  d iy p l iy
deer  d ih r
defects  d iy f eh k t s
defend  d ax f eh n d
defended  d ax f eh n d ix d
defense  d ax f eh n s
defensive  d ax f eh n s ih v
defiantly  d ax f ay ax n t l iy
define  d ih f ay n
definite  d eh f ax n ix t
definitely  d eh f ax n ix t l iy
degree  d ax g r iy
degrees  d ax g r iy z
delegated  d eh l ax g ey t ix d
delete  d ax l iy t
delicate  d eh l ih k ix t
delicious  d ax l ih sh ix s
delight  d ax l ay t
delightful  d ax l ay t f el
delineating  d ax l ih n iy ey t ix ng
delivering  d ax l ih v axr ix ng
demand  d ax m ae n d
demanded  d ax m ae n d ix d
demands  d ax m ae n d z
demineralization  d ax m ih n axr el ay z ey sh ix n
demonstration  d eh m ax n s t r ey sh ix n
dense  d eh n s
density  d eh n s ix t iy
denunciation  d ih n ah n s iy ey sh ix n
deny  d ax n ay
departments  d ax p aa r t m ax n t s
departure  d ax p aa r ch axr
depend  d ax p eh n d
depicts  d ih p ih k t s
depletion  d ih p l iy sh ix n
depreciation  d ih p r iy sh iy ey sh ix n
deprive  d ih p r ay v
deputy  d eh p y uw t iy
dereliction  d eh r ax l ih k sh ix n
derived  d axr ay v d
deriving  d axr ay v ix ng
describe  d ix s k r ay b
described  d ix s k r ay b d
desegregate  d ih s eh g r ih g ey t
desegregation  d iy s eh g r ih g ey sh ix n
deserves  d ix z er v z
design  d ix z ay n
designer  d ix z ay n axr
desirable  d ix z ay axr ax b el
desire  d ix z ay axr
desires  d ix z ay axr z
desk  d eh s k
desolation  d eh s ax l ey sh ix n
despair  d ix s p ae r
desperately  d eh s p axr ax t l iy
despised  d ix s p ay z d
despite  d ix s p ay t
dessert  d ih z er t
desserts  d ih z er t s
destiny  d eh s t ix n iy
destroy  d ix s t r oy
destroying  d ix s t r oy ix ng
detail  d iy t ey l
detailed  d iy t ey l d
details  d iy t ey l z
detectable  d ih t eh k ax b el
detective's  d ih t eh k t ih v z
determination  d ih t er m ax n ey sh ix n
determine  d ih t er m ax n
determined  d ih t er m ax n d
detract  d ih t r ae k t
develop  d ax v eh l ax p
developed  d ax v eh l ax p t
developing  d ax v eh l ax p ix ng
development  d ax v eh l ah p m ax n t
device  d ax v ay s
devour  d ax v aw r
dew  d uw
diagnosed  d ay ih g n ow s t
diagnosis  d ay ih g n ow s ix s
diagonally  d ay ae g ix n ax l iy
diagram  d ay ax g r ae m
diane  d ay ae n
diarrhoea  d ay axr iy ax
dice  d ay s
dictators  d ih k t ey t axr z
dictionary  d ih k sh ix n eh r iy
did  d ih d
didn't  d ih d en t
die  d ay
died  d ay d
diet  d ay ax t
differ  d ih f axr
difference  d ih f axr ax n s
differences  d ih f axr ax n s ix z
different  d ih f axr ax n t
differentiate  d ih f axr eh n sh iy ey t
differently  d ih f axr ax n t l y
difficult  d ih f ih k ah l t
dig  d ih g
dignity  d ih g n ix t iy
dim  d ih m
dime  d ay m
dimensions  d ax m eh n sh ix n z
dimes  d ay m z
diminish  d ax m ih n ih sh
diminishing  d ax m ih n ih sh ix ng
dingo  d ih ng g ow
dinner  d ih n axr
diploma  d ax p l ow m ax
direction  d axr eh k sh ix n
directional  d axr eh k sh ix n el
directions  d axr eh k sh ix n z
director  d axr eh k t axr
directory  d axr eh k t axr iy
dirt  d er t
dirty  d er t iy
disappeared  d ih s ax p iy r d
disappointed  d ih s ax p oy n t ix d
disapproval  d ih s ax p r uw v el
disapproves  d ih s ax p r uw v z
disaster  d ih z ae s t axr
discard  d ih s k aa r d
discipline  d ih s ax p l ix n
disciplined  d ih s ax p l ix n d
disclaimer  d ih s k l ey m axr
discount  d ih s k aw n t
discouraged  d ih s k er ih jh d
discouraging  d ih s k er ih jh ix ng
discovered  d ih s k ah v axr d
discretionary  d ih s k r eh sh ix n eh r iy
discussion  d ih s k ah sh ix n
discussions  d ih s k ah sh ix n z
disease  d ix z iy z
diseases  d ix z iy z ix z
disguise  d ix s g ay z
disgusting  d ih s g ah s t ix ng
dish  d ih sh
dishes  d ih sh ix z
disk  d ih s k
disliked  d ih s l ay k t
dislikes  d ih s l ay k s
disobeyed  d ih s ow b ey d
dispel  d ih s p eh l
dispensing  d ih s p eh n s ix ng
dispersed  d ih s p er s t
displacement  d ih s p l ey s m ax n t
display  d ih s p l ey
displayed  d ih s p l ey d
dispute  d ih s p y uw t
disputes  d ih s p y uw t s
disregarding  d ih s r ih g aa r d ix ng
disrepair  d ih s r ih p ae r
dissolve  d ih z aa l v
distance  d ih s t ix n s
distances  d ih s t ix n s ix z
distaste  d ih s t ey s t
distinct  d ih s t ih ng t
distinguished  d ih s t ih ng g w ih sh t
distracted  d ih s t r ae k t ix d
distress  d ih s t r eh s
distributed  d ih s t r ih b y uw t ix d
districts  d ih s t r ih k t s
disturb  d ih s t er b
ditches  d ih ch ix z
dive  d ay v
diversity  d ax v er s ix t iy
divided  d ax v ay d ix d
divinities  d ax v ih n ix t iy z
division  d ax v ih zh ix n
do  d uw
doctor  d aa k t axr
doctors  d aa k t axr z
doctrine  d aa k t r ax n
documented  d aa k y uw m eh n t ix d
documents  d aa k y uw m ax n t s
dodging  d aa jh ix ng
does  d ah z
doesn't  d ah z en t
doin'  d uw ix n
doing  d uw ix ng
doll  d aa l
dollar  d aa l axr
dollar-and-cents  d aa l axr ae n d s eh n t s
dollars  d aa l axr z
dollars-and-cents  d aa l axr z ae n d s eh n t s
dolphins  d aa l f ax n z
dome  d ow m
domestic  d ax m eh s t ih k
dominant  d aa m ih n ix n t
dominated  d aa m ih n ey t ix d
don't  d ow n t
donate  d ow n ey t
donated  d ow n ey t ix d
done  d ah n
doses  d ow s ix z
double  d ah b el
double-glaze  d ah b el g l ey z
doubt  d aw t
dough  d ow
doused  d aw s t
down  d aw n
downstairs  d aw n s t ae r z
downtown  d aw n t aw n
downward  d aw n w axr d
dozen  d ah z en
drain  d r ey n
dramatic  d r ax m ae t ih k
drank  d r ae ng k
drastically  d r ae s t ih k l iy
dream  d r iy m
dreams  d r iy m z
drenched  d r eh n ch t
dress  d r eh s
dressing  d r eh s ix ng
dressy  d r eh s iy
drew  d r uw
dried  d r ay d
drift  d r ih f t
drifted  d r ih f t ix d
drifting  d r ih f t ix ng
drink  d r ih ng k
drinkers  d r ih ng k axr z
drive  d r ay v
driven  d r ih v ax n
drivers  d r ay v axr z
driving  d r ay v ix ng
drop  d r aa p
dropped  d r aa p t
drops  d r aa p s
drought  d r aw t
drove  d r ow v
drug  d r ah g
drug's  d r ah g z
drugs  d r ah g z
drunk  d r ah ng k
drunkard  d r ah ng k er d
drunkards  d r ah ng k er d z
drunkenness  d r ah ng k ax n ix s
dry  d r ay
drying  d r ay ix ng
dubious  d uw b iy ax s
duck  d ah k
ducks  d ah k s
due  d uw
dug  d ah g
dull  d ah l
dumb  d ah m
dumped  d ah m p t
duplicate  d uw p l ih k ix t
during  d uh r ix ng
dust  d ah s t
dusting  d ah s t ix ng
dutch  d ah ch
duty  d uw t iy
dwell  d w eh l
dyeing  d ay ix ng
dying  d ay ix ng
dynamics  d ay n ae m ih k s
dynastic  d ay n ae s t ih k
each  iy ch
eagerly  iy g axr l iy
eagerness  iy g axr n ix s
ear  ih r
earlier  er l iy axr
early  er l iy
earn  er n
earnestly  er n ix s t l iy
ears  ih r z
earth  er th
earth's  er th s
earthenware  er th ax n w ae r
earthly  er th l iy
earthquake  er th k w ey k
ease  iy z
eased  iy z d
easier  iy z iy axr
easily  iy z ax l iy
eastern  iy s t axr n
easy  iy z iy
easygoing  iy z iy g ow ix ng
eat  iy t
eaten  iy t en
eating  iy t ix ng
eccentricity  eh k s eh n t r ih s ix t iy
echo  eh k ow
economic  eh k ix n aa m ih k
economically  eh k ix n aa m ih k l iy
economy  ih k aa n ax m iy
ecumenical  eh k y uh m eh n ih k el
edge  eh jh
edges  eh jh ix z
edgy  eh d jh iy
education  eh jh ix k ey sh ix n
educational  eh jh ix k ey sh ix n el
effect  ih f eh k t
effective  ih f eh k t ih v
effects  ih f eh k t s
efficiency  ih f ih sh ix n s iy
efficient  ih f ih sh ix n t
effort  eh f axr t
egg  eh g
egg-sized  eh g s ay z d
eggs  eh g z
ego  iy g ow
egotist  iy g ow t ih s t
eight  ey t
eighteenth  ey t iy n th
either  iy dh axr
elaborately  ax l ae b axr ax t l iy
elbowing  eh l b ow ix ng
elderly  eh l d axr l iy
election  ax l eh k sh ix n
electric  ax l eh k t r ih k
electrical  ax l eh k t r ih k el
electricity  ax l eh k t r ih s ix t iy
electron  ax l eh k t r aa n
electronic  ax l eh k t r aa n ih k
electrostatic  ax l eh k t r ax s t ae t ix k
elegant  eh l ix g ix n t
element  eh l ax m ax n t
elementary  eh l ax m eh n t axr iy
elementary-school  eh l ax m eh n t axr iy s k uw l
elements  eh l ax m ax n t s
elevator  eh l ax v ey t axr
eleven  ax l eh v ax n
ellipsoids  ax l ih p s oy d
elm  eh l m
else  eh l s
elsewhere  eh l s w ae r
em  ax m
embankment  ih m b ae ng k m ax n t
emblem  eh m b l ax m
embodiment  eh m b aa d ix m ax n t
embracing  eh m b r ey s ix ng
emerge  ih m er jh
emergency  ih m er jh ix n s iy
emotion  ih m ow sh ix n
emotional  ih m ow sh ix n el
emotionally  ih m ow sh ix n ax l iy
emotions  ih m ow sh ix n z
emperor  eh m p axr axr
emphasis  eh m f ax s ix s
emphasize  eh m f ax s ay z
emphasized  eh m f ax s ay z d
emphysema  eh m f ax z iy m aa
empirical  ih m p ih r ih k el
employee  ih m p l oy iy
employees  ih m p l oy iy z
employment  ih m p l oy m ax n t
empty  eh m p t iy
enabling  ih n ey b el ix ng
enact  ih n ae k t
enamel  ih n ae m el
encamped  ih n k ae m p t
enclosed  eh n k l ow z d
encountered  ih n k aw n t axr d
encourage  ih n k er ih jh
encouraged  ih n k er ih jh d
encyclopedias  ih n s ay k l ax p iy d iy ax z
end  eh n d
endeavored  ih n d eh v axr d
ended  eh n d ix d
endosperm  eh n d ow s p er m
ends  eh n d z
endurance  eh n d uh r en s
enemy  eh n ax m iy
energy  eh n er jh iy
engine  eh n jh ix n
engineer  eh n jh ix n ih r
engineering  eh n jh ix n ih r ix ng
engineers'  eh n jh ix n ih r z
engulfed  eh n g ah l f t
enigma  ih n ih g m ax
enjoy  eh n jh oy
enjoyed  eh n jh oy d
enlightenment  ih n l ay t en m ax n t
enlisted  ih n l ih s t ix d
enough  ih n ah f
enrich  ih n r ih ch
ensue  ih n s uw
enter  eh n t axr
entertaining  eh n t axr t ey n ix ng
enthusiastic  ih n th uw z iy ae s t ih k
entire  ih n t ay axr
entirely  ih n t ay axr l iy
entitle  ih n t ay t el
entity  eh n ix t iy
entries  eh n t r iy z
entropy  eh n t r ax p iy
entry  eh n t r iy
envelope  eh n v ax l ow p
environment  eh n v ay r ax n m ax n t
environments  eh n v ay r ax n m ax n t s
enzyme  eh n z ay m
ephemeral  eh f eh m axr el
epidemic  eh p ax d eh m ih k
episode  eh p ax s ow d
equal  iy k w el
equally  iy k w el iy
equation  ih k w ey zh ix n
equipment  ax k w ih p m ax n t
equipped  ax k w ih p t
equivalent  ih k w ih v el ax n t
era  eh r ax
erect  ih r eh k t
erotic  ih r aa t ih k
errors  eh r axr z
eruption  ih r ah p sh ix n
escalator  eh s k ax l ey t axr
escape  eh s k ey p
esoteric  eh s ax t eh r ih k
especially  ih s p eh sh ax l iy
essay  eh s ey
essential  ih s eh n sh el
essentially  ih s eh n sh ax l iy
establish  ih s t ae b l ih sh
establishment  ih s t ae b l ih sh m ax n t
estimate  eh s t ix m ih t
estimates  eh s t ix m ih t s
etc  eh t s eh t axr ax
eternal  ih t er n el
eternity  ih t er n ix t iy
etiquette  eh t ih k ix t
evacuate  ih v ae k y uw ey t
evaluate  ih v ae l y uw ey t
evaluated  ih v ae l y uw ey t ix d
evaluation  ih v ae l y uw ey sh ix n
evasive  ih v ey s ih v
even  iy v ax n
evening  iy v n ih ng
evenly  iy v ax n l iy
events  ax v eh n t s
eventualities  ih v eh n ch uw ae l ix t iy z
eventually  ih v eh n ch uw ax l iy
ever  eh v axr
ever-increasing  eh v axr ih n k r iy s ix ng
every  eh v r iy
everybody  eh v r iy b ah d iy
everyone  eh v r iy w ah n
everything  eh v r iy th ih ng
evidence  eh v ix d ih n s
evident  eh v ix d ix n t
evocative  ih v aa k ax t ih v
evolve  ih v aa l v
exacerbated  ih g z ae s axr b ey t ix d
exacerbations  ih g z ae s axr b ey sh ix n z
exactly  ih g z ae k t l iy
exaggerated  ih g z ae jh axr ey t ix d
exam  ih g z ae m
examination  ih g z ae m ih n ey sh ix n
examined  ih g z ae m ix n d
example  ih g z ae m p el
examples  ih g z ae m p el z
exboyfriend  eh k s b oy f r eh n d
excellent  eh k s el ax n t
except  ih k s eh p t
exception  ih k s eh p sh ix n
excess  eh k s eh s
exchange  ih k s ch ey n jh
exchanged  ih k s ch ey n jh d
excited  ih k s ay t ix d
excitement  ih k s ay t m ax n t
exciting  ih k s ay t ix ng
exclaiming  ih k s k l ey m ix ng
excluded  ih k s k l uw d ix d
exclusive  ih k s k l uw s ih v
execute  eh k s ix k y uw t
execution  eh k s ix k y uw sh ix n
executive  ih g z eh k y uw t ih v
exercise  eh k s axr s ay z
exercises  eh k s axr s ay z ix z
exhibited  ih g z ih b ax t ix d
exhibits  ih g z ih b ax t s
exhusband  eh k s hh ah z b ax n d
exist  ih g z ih s t
existed  ih g z ih s t ix d
existence  ih g z ih s t ix n s
existing  ih g z ih s t ix ng
exists  ih g z ih s t s
exotic  ih g z aa t ih k
expect  eh k s p eh k t
expectations  eh k s p eh k t ey sh ix n z
expected  eh k s p eh k t ix d
expecting  eh k s p eh k t ix ng
expects  eh k s p eh k t s
expense  eh k s p eh n s
expensive  eh k s p eh n s ih v
experience  ih k s p ih r iy ax n s
experienced  ih k s p ih r iy ax n s t
experiment  eh k s p eh r ax m ax n t
experiment's  eh k s p eh r ax m ax n t s
experimental  eh k s p eh r ax m eh n t ax l
experiments  eh k s p eh r ax m ax n t s
expertise  eh k s p er t iy z
expertly  eh k s p er t l iy
experts  eh k s p er t s
explain  ih k s p l ey n
explains  ih k s p l ey n z
explanation  eh k s p l ix n ey sh ix n
explicitly  ih k s p l ih s ix t l iy
explosion  ih k s p l ow zh ix n
exposed  ih k s p ow z d
exposure  ih k s p ow zh axr
expression  ih k s p r eh sh ix n
expressway  ih k s p r eh s w ey
exquisite  eh k s k w ih z ix t
extended  ih k s t eh n d ix d
extending  ih k s t eh n d ix ng
extensive  ih k s t eh n s ih v
extent  ih k s t eh n t
extra  eh k s t r ax
extremely  ih k s t r iy m l iy
exultantly  ih g z ah l t en t l iy
eye  ay
eyebrow  ay b r aw
eyedrops  ay d r aa p s
eyelids  ay l ih d z
eyes  ay z
eyestrain  ay s t r ey n
fabric  f ae b r ih k
fabrics  f ae b r ih k s
face  f ey s
faces  f ey s ix z
fact  f ae k t
factions  f ae k sh ix n z
factors  f ae k t axr z
facts  f ae k t s
faculty  f ae k el t iy
faded  f ey d ix d
fail  f ey l
failed  f ey l d
fails  f ey l z
failure  f ey l y axr
faint  f ey n t
fair  f ae r
fairly  f ae r l iy
fairy  f ae r iy
faith  f ey th
fame  f ey m
familiar  f ax m ih l y axr
familiarity  f ax m ih l y ae r ax t iy
family  f ae m el iy
famous  f ey m ax s
fan  f ae n
fancier  f ae n s iy axr
fancy  f ae n s iy
fangs  f ae ng z
far  f aa r
farm  f aa r m
farmer's  f aa r m axr z
farmers  f aa r m axr z
farmhouses  f aa r m hh aw z ix z
farmland  f aa r m l ae n d
farmyard  f aa r m y aa r d
farther  f aa r dh axr
fasciculations  f ax s ih k y ax l ey sh ix n z
fascinating  f ae s en ey t ix ng
fashion  f ae sh ix n
fashioned  f ae sh ix n d
fast  f ae s t
fast-opening  f ae s t ow p ax n ix ng
faster  f ae s t axr
fat  f ae t
father  f aa dh axr
father's  f aa dh axr z
fathers  f aa dh axr z
fatigue  f ax t iy g
fatigued  f ax t iy g d
fatigues  f ax t iy g z
favor  f ey v axr
favorable  f ey v axr ax b el
favorite  f ey v axr ix t
fear  f ih r
feared  f ih r d
fearful  f ih r f el
fears  f ih r z
feasible  f iy z ax b el
feast  f iy s t
feather  f eh dh axr
feathered  f eh dh axr d
feathers  f eh dh axr z
features  f iy ch axr z
feed  f iy d
feel  f iy l
feeling  f iy l ix ng
feelings  f iy l ix ng z
feels  f iy l z
feet  f iy t
fell  f eh l
fella  f eh l ax
fellowship  f eh l ow sh ih p
felt  f eh l t
female  f iy m ey l
fenced  f eh n s t
fences  f eh n s ix z
fermented  f er m eh n t ix d
ferries  f eh r iy z
fertilizers  f er t ax l ay z axr z
fever  f iy v axr
feverishly  f iy v axr ih sh l iy
few  f y uw
fewer  f y uw axr
fibers  f ay b axr z
fibrosis  f ay b r ow s ix s
fiction  f ih k sh ix n
fiddles  f ih d el z
field  f iy l d
fields  f iy l d z
fieldwork  f iy l d w er k
fiercely  f ih r s l iy
fiercest  f ih r s ix s t
fiery  f ay r iy
fifteen  f ih f t iy n
fifth  f ih f th
fifty  f ih f t iy
fight  f ay t
fights  f ay t s
figure  f ih g y axr
figured  f ih g y axr d
figures  f ih g y axr z
file  f ay l
files  f ay l z
fill  f ih l
filling  f ih l ix ng
film  f ih l m
films  f ih l m z
filtered  f ih l t axr d
filtering  f ih l t axr ix ng
final  f ay n el
finally  f ay n el iy
financing  f ay n ae n s ix ng
find  f ay n d
finding  f ay n d ix ng
finds  f ay n d z
fine  f ay n
fine-feathered  f ay n f eh dh axr d
finger  f ih ng g axr
fingerprints  f ih ng g axr p r ih n t s
fingers  f ih ng g axr z
finish  f ih n ih sh
finishing  f ih n ih sh ix ng
fire  f ay axr
firebug  f ay axr b ah g
firecrackers  f ay axr k r ae k axr z
fireplace  f ay axr p l ey s
fires  f ay axr z
firing  f ay axr ix ng
firmly  f er m l iy
firmness  f er m n ix s
firms  f er m z
first  f er s t
fiscal  f ih s k el
fish  f ih sh
fishermen  f ih sh axr m eh n
fishing  f ih sh ix ng
fist  f ih s t
fists  f ih s t s
fit  f ih t
fitfully  f ih t f el iy
five  f ay v
five-hundred  f ay v hh ah n d r ax d
fix  f ih k s
fixed  f ih k s t
flag  f l ae g
flame  f l ey m
flash  f l ae sh
flashing  f l ae sh ix ng
flat  f l ae t
flat-bottomed  f l ae t b aa t em d
flaxseed  f l ae k s iy d
fled  f l eh d
fleecy  f l iy s iy
flesh  f l eh sh
flew  f l uw
flexibility  f l eh k s ax b ih l ix t iy
flexible  f l eh k s ax b el
flickered  f l ih k axr d
flies  f l ay z
flimsy  f l ih m z iy
flip  f l ih p
float  f l ow t
floc  f l aa k
flood  f l ah d
flopped  f l aa p t
flourish  f l ah r ih sh
flourishes  f l ah r ih sh ix z
flow  f l ow
flower  f l aw axr
flowerpot  f l aw axr p aa t
flowers  f l aw axr z
flu  f l uw
fluent  f l uw ax n t
fluid  f l uw ix d
flurries  f l er iy z
fluttered  f l ah t axr d
flying  f l ay ix ng
foam  f ow m
foamy  f ow m iy
focus  f ow k ix s
foil  f oy l
fold  f ow l d
folded  f ow l d ix d
folds  f ow l d z
follow  f aa l ow
followed  f aa l ow d
following  f aa l ow ix ng
follows  f aa l ow z
food  f uw d
foods  f uw d z
fool  f uw l
fooling  f uw l ix ng
foolish  f uw l ih sh
fools  f uw l z
foot  f uh t
footnotes  f uh t n ow t s
forever  f axr eh v axr
foul  f aw l
found  f aw n d
frame  f r ey m
framework  f r ey m w er k
frankfurter  f r ae ng k f axr t axr
frankfurters  f r ae ng k f axr t axr z
frantically  f r ae n t ix k l iy
freed  f r iy d
freedom  f r iy d ax m
freely  f r iy l iy
freethinkers  f r iy th ih ng k axr z
freeway  f r iy w ey
frequent  f r iy k w ax n t
frequently  f r iy k w ax n t l iy
fresh  f r eh sh
friend  f r eh n d
friends  f r eh n d z
frightened  f r ay t en d
fringe  f r ih n jh
frivolous  f r ih v el ax s
from  f r ah m
front  f r ah n t
frowningly  f r aw n ix ng l iy
froze  f r ow z
fruit  f r uw t
frustration  f r ah s t r ey sh ix n
fudge  f ah jh
fulfilling  f uh l f ih l ix ng
fulfillment  f uh l f ih l m ax n t
full  f uh l
fullness  f uh l n ix s
fully  f uh l iy
fumbled  f ah m b el d
fuming  f y uw m ix ng
fun  f ah n
function  f ah ng k sh ix n
functional  f ah ng k sh ix n el
fund  f ah n d
funding  f ah n d ix ng
funds  f ah n d z
fungicides  f ah n jh ix s ay d z
funnel  f ah n el
funny  f ah n iy
fur  f er
furiously  f y uh r iy ax s l iy
furnish  f er n ih sh
furrier  f er iy axr
further  f er dh axr
fuss  f ah s
future  f y uw ch axr
gab  g ae b
gadfly  g ae d f l ay
gadget  g ae jh ix t
gag  g ae g
gain  g ey n
gained  g ey n d
gait  g ey t
gallant  g ae l ix n t
gallon  g ae l ix n
galoshes  g ax l aa sh ix z
galvanic  g ae l v ae n ih k
game  g ey m
gang  g ae ng
gangplank  g ae ng p l ae ng k
garage  g axr aa zh
garbage  g aa r b ih jh
garden  g aa r d en
gardens  g aa r d en z
garlic  g aa r l ih k
garrisoned  g ae r ix s ix n d
gas  g ae s
gashes  g ae sh ix z
gassing  g ae s ix ng
gates  g ey t s
gateway  g ey t w ey
gathered  g ae dh axr d
gathering  g ae dh axr ix ng
gave  g ey v
gay  g ey
gazed  g ey z d
gear  g ih r
geeing  jh iy ix ng
geese  g iy s
general  jh eh n axr el
general's  jh eh n axr el z
generalizations  jh eh n axr el ax z ey sh ix n z
generalize  jh eh n axr ax l ay z
generally  jh eh n axr ax l iy
generals  jh eh n axr el z
generations  jh eh n axr ey sh ix n z
generous  jh eh n axr ix s
generously  jh eh n axr ix s l iy
gentle  jh eh n t el
gentleman  jh eh n t el m ax n
gently  jh eh n t l iy
genuinely  jh eh n y uw ax n l iy
geocentricism  jh iy ax s eh n t r ih s ix z em
geographically  jh iy ax g r ae f ih k l iy
geological  jh iy ax l aa jh ih k el
get  g eh t
gets  g eh t s
getting  g eh t ix ng
ghetto  g eh t ow
ghettos  g eh t ow z
ghost  g ow s t
ghostlike  g ow s t l ay k
giant  jh ay ix n t
giants  jh ay ix n t s
gift  g ih f t
gifted  g ih f t ix d
gifts  g ih f t s
gigantic  jh ay g ae n t ih k
gin  jh ih n
giraffes  jh axr ae f s
girl  g er l
girlie  g er l iy
girlishly  g er l ih sh l iy
girls  g er l z
give  g ih v
given  g ih v ax n
gives  g ih v z
givin'  g ih v ax n
gland  g l ae n d
glass  g l ae s
glaze  g l ey z
glazed  g l ey z d
glazing  g l ey z ix ng
gleam  g l iy m
gleamed  g l iy m d
gleaming  g l iy m ix ng
glee  g l iy
glee-club  g l iy k l ah b
glimpse  g l ih m p s
glistened  g l ih s en d
glistening  g l ih s en ix ng
gloom  g l uw m
gloves  g l ah v z
glow  g l ow
